total_en_pageviews.page,total_en_pageviews.total_views
List_of_Knowing_Bros_episodes,12003
Philippines,11997
Shonda_Rhimes,11994
Three_Percenters,11991
Tucker_Carlson,11988
Martin_Luther_King_Jr._Day,11979
Hitman_(franchise),11962
Pitaya,11961
Cha_Eun-woo,11951
Andrews_Air_Force_Base,11950
NATO_phonetic_alphabet,11943
Jimmie_Rodgers_(pop_singer),11928
John_E._Hyten,11925
Amy_James-Kelly,11923
Margot_Robbie,11922
Death_Row_Records,11898
Nicola_Coughlan,11897
Residences_of_Donald_Trump,11889
West_Wing,11884
Cyberpunk_2077,11874
Chilling_Adventures_of_Sabrina_(TV_series),11861
Radium_Girls,11860
Chadwick_Boseman,11851
Cillian_Murphy,11804
Liv_Tyler,11784
Mayim_Bialik,11784
Wikipedia:About,11768
John_Krasinski,11762
Heights_of_presidents_and_presidential_candidates_of_the_United_States,11748
James_K._Polk,11742
Chris_Stirewalt,11741
John_Lydon,11737
Apple_Inc.,11719
1976_United_States_presidential_election,11716
Doug_Marrone,11709
Gordon_Ramsay,11704
Liam_Neeson,11700
Clemency_Burton-Hill,11700
Operation_Trust,11687
Black_January,11683
Godzilla_vs._Kong,11678
Anderson_Cooper,11678
Zodiac_Killer,11674
Amazon_(company),11657
